context,chair(downsampling rate),chair(frame rate),table(downsampling rate),table(frame rate),fridge(downsampling rate),fridge(frame rate),bag(downsampling rate),bag(frame rate),bulletin_board(downsampling rate),bulletin_board(frame rate),bag_2(downsampling rate),bag_2(frame rate),laptop(downsampling rate),laptop(frame rate),person_1(downsampling rate),person_1(frame rate),person_2(downsampling rate),person_2(frame rate),plastic_container(downsampling rate),plastic_container(frame rate),shelf(downsampling rate),shelf(frame rate),score
2.0,99.0,7.0,91.0,9.0,10.0,6.0,1.0,6.0,8.0,4.0,83.0,4.0,15.0,7.0,33.0,2.0,55.0,9.0,61.0,2.0,78.0,10.0,248.77809839999995
1.0,9.0,4.0,39.0,4.0,36.0,1.0,79.0,2.0,2.0,4.0,15.0,9.0,36.0,5.0,53.0,6.0,50.0,6.0,84.0,8.0,39.0,5.0,227.4354574
2.0,84.0,3.0,98.0,4.0,25.0,6.0,14.0,3.0,37.0,6.0,82.0,6.0,36.0,8.0,27.0,10.0,14.0,9.0,55.0,10.0,77.0,4.0,256.70237099999997
2.0,78.0,6.0,83.0,4.0,93.0,7.0,10.0,6.0,33.0,5.0,13.0,8.0,15.0,7.0,85.0,10.0,99.0,5.0,53.0,7.0,37.0,8.0,331.50712509999994
1.0,29.0,2.0,12.0,5.0,33.0,4.0,43.0,7.0,55.0,9.0,18.0,1.0,93.0,9.0,100.0,2.0,78.0,9.0,81.0,3.0,68.0,1.0,256.4062036
2.0,38.0,9.0,3.0,6.0,68.0,6.0,22.0,5.0,21.0,2.0,76.0,6.0,11.0,8.0,94.0,8.0,78.0,7.0,29.0,6.0,34.0,6.0,278.3303735
2.0,33.0,5.0,22.0,7.0,76.0,3.0,41.0,3.0,77.0,10.0,8.0,9.0,12.0,6.0,29.0,4.0,54.0,2.0,85.0,4.0,63.0,7.0,233.76218530000003
2.0,92.0,1.0,15.0,3.0,13.0,9.0,82.0,2.0,63.0,1.0,97.0,9.0,8.0,8.0,52.0,3.0,58.0,8.0,10.0,10.0,99.0,9.0,255.6813126
1.0,87.0,1.0,10.0,4.0,81.0,9.0,69.0,3.0,65.0,6.0,54.0,2.0,71.0,4.0,12.0,10.0,47.0,7.0,41.0,4.0,7.0,1.0,218.94669380000005
1.0,28.0,5.0,50.0,3.0,17.0,4.0,81.0,4.0,24.0,3.0,69.0,9.0,13.0,8.0,87.0,3.0,67.0,9.0,66.0,7.0,47.0,2.0,256.093168
2.0,89.0,2.0,72.0,4.0,93.0,1.0,53.0,3.0,59.0,2.0,86.0,10.0,22.0,5.0,17.0,3.0,57.0,9.0,9.0,1.0,52.0,8.0,251.5725305
2.0,71.0,7.0,75.0,7.0,7.0,3.0,65.0,6.0,13.0,7.0,70.0,6.0,26.0,5.0,97.0,4.0,97.0,5.0,45.0,6.0,24.0,10.0,304.49481139999995
2.0,49.0,5.0,74.0,8.0,100.0,2.0,2.0,7.0,24.0,1.0,44.0,4.0,70.0,3.0,68.0,9.0,61.0,5.0,3.0,10.0,41.0,6.0,280.1461939
2.0,84.0,6.0,20.0,4.0,46.0,3.0,3.0,1.0,75.0,10.0,99.0,6.0,34.0,3.0,28.0,4.0,49.0,7.0,42.0,5.0,79.0,1.0,251.44401969999996
2.0,8.0,9.0,68.0,8.0,40.0,5.0,55.0,6.0,74.0,10.0,16.0,4.0,100.0,10.0,34.0,9.0,64.0,4.0,77.0,8.0,41.0,5.0,242.15626480000003
2.0,3.0,8.0,34.0,5.0,84.0,4.0,79.0,3.0,68.0,6.0,48.0,8.0,31.0,5.0,26.0,10.0,74.0,5.0,13.0,8.0,74.0,6.0,205.3084515
1.0,53.0,4.0,34.0,4.0,34.0,2.0,52.0,3.0,92.0,10.0,75.0,4.0,3.0,7.0,67.0,6.0,69.0,8.0,68.0,7.0,63.0,8.0,237.4388228
2.0,42.0,2.0,73.0,10.0,94.0,2.0,76.0,8.0,75.0,10.0,86.0,6.0,41.0,1.0,9.0,2.0,62.0,4.0,80.0,3.0,18.0,7.0,246.0230101
2.0,19.0,5.0,51.0,9.0,85.0,6.0,42.0,1.0,52.0,4.0,63.0,3.0,39.0,9.0,24.0,10.0,82.0,3.0,4.0,1.0,69.0,5.0,233.94430239999997
2.0,78.0,1.0,13.0,7.0,79.0,9.0,40.0,10.0,78.0,1.0,9.0,7.0,67.0,10.0,85.0,6.0,46.0,5.0,78.0,7.0,64.0,9.0,299.6669984
2.0,17.0,4.0,58.0,1.0,27.0,6.0,66.0,9.0,77.0,8.0,21.0,1.0,97.0,7.0,87.0,4.0,4.0,9.0,62.0,10.0,78.0,1.0,267.417496
2.0,36.0,3.0,90.0,4.0,90.0,3.0,48.0,10.0,20.0,2.0,100.0,4.0,17.0,9.0,25.0,7.0,54.0,2.0,43.0,8.0,49.0,3.0,246.15785290000002
2.0,15.0,3.0,74.0,9.0,50.0,1.0,45.0,3.0,90.0,8.0,73.0,10.0,29.0,8.0,16.0,8.0,5.0,8.0,37.0,4.0,53.0,7.0,219.85902929999997
1.0,59.0,1.0,84.0,10.0,77.0,2.0,79.0,9.0,55.0,3.0,91.0,1.0,34.0,5.0,3.0,7.0,51.0,10.0,83.0,5.0,48.0,9.0,251.77680250000003
1.0,61.0,7.0,57.0,10.0,63.0,5.0,29.0,10.0,25.0,4.0,99.0,1.0,32.0,4.0,39.0,8.0,2.0,8.0,41.0,4.0,91.0,3.0,253.0408013
1.0,46.0,10.0,41.0,2.0,9.0,1.0,52.0,9.0,37.0,2.0,8.0,8.0,85.0,8.0,68.0,4.0,49.0,9.0,64.0,1.0,65.0,9.0,269.6004747
2.0,49.0,5.0,82.0,1.0,45.0,9.0,42.0,9.0,71.0,4.0,5.0,5.0,94.0,2.0,7.0,3.0,24.0,9.0,63.0,8.0,46.0,6.0,249.9426975
2.0,35.0,9.0,83.0,10.0,16.0,3.0,51.0,10.0,29.0,9.0,6.0,6.0,16.0,1.0,29.0,1.0,99.0,9.0,58.0,4.0,44.0,3.0,251.59661820000005
2.0,46.0,2.0,50.0,3.0,15.0,3.0,84.0,3.0,36.0,4.0,29.0,9.0,56.0,10.0,86.0,5.0,10.0,4.0,17.0,2.0,84.0,10.0,271.95948769999995
2.0,38.0,1.0,75.0,1.0,83.0,1.0,61.0,6.0,26.0,1.0,42.0,3.0,11.0,5.0,6.0,9.0,33.0,5.0,88.0,9.0,35.0,10.0,244.2952239
2.0,54.0,1.0,46.0,9.0,38.0,9.0,79.0,1.0,9.0,3.0,8.0,8.0,44.0,10.0,39.0,10.0,56.0,4.0,85.0,8.0,41.0,7.0,269.36252110000004
1.0,39.0,8.0,72.0,6.0,50.0,2.0,77.0,5.0,98.0,5.0,2.0,7.0,72.0,7.0,62.0,4.0,96.0,2.0,4.0,3.0,99.0,8.0,270.5983407
1.0,95.0,1.0,2.0,4.0,51.0,5.0,89.0,8.0,24.0,6.0,90.0,1.0,17.0,4.0,74.0,4.0,77.0,10.0,2.0,7.0,42.0,1.0,236.25539039999998
2.0,48.0,6.0,94.0,9.0,73.0,3.0,83.0,7.0,80.0,3.0,72.0,2.0,78.0,9.0,8.0,5.0,8.0,5.0,10.0,5.0,79.0,5.0,225.8876275
1.0,33.0,7.0,87.0,7.0,60.0,5.0,80.0,2.0,89.0,8.0,79.0,10.0,47.0,1.0,41.0,7.0,13.0,10.0,54.0,3.0,20.0,7.0,259.20476809999997
1.0,90.0,7.0,93.0,8.0,60.0,5.0,41.0,10.0,64.0,6.0,49.0,10.0,26.0,8.0,18.0,10.0,39.0,4.0,15.0,2.0,51.0,9.0,241.1301161
2.0,70.0,3.0,57.0,6.0,26.0,6.0,33.0,3.0,26.0,4.0,8.0,2.0,74.0,3.0,60.0,7.0,75.0,7.0,18.0,5.0,56.0,3.0,298.80612579999996
2.0,70.0,4.0,44.0,9.0,14.0,2.0,39.0,6.0,66.0,2.0,23.0,6.0,84.0,6.0,88.0,9.0,7.0,5.0,74.0,3.0,58.0,6.0,281.79664479999997
1.0,36.0,10.0,75.0,6.0,86.0,4.0,10.0,6.0,36.0,5.0,95.0,7.0,24.0,1.0,49.0,4.0,33.0,10.0,45.0,9.0,77.0,3.0,254.55583030000003
1.0,13.0,7.0,7.0,2.0,46.0,7.0,8.0,6.0,57.0,7.0,5.0,6.0,83.0,6.0,1.0,6.0,62.0,3.0,61.0,9.0,29.0,10.0,231.10761
1.0,24.0,9.0,81.0,8.0,80.0,1.0,37.0,8.0,86.0,7.0,71.0,8.0,1.0,5.0,18.0,4.0,100.0,10.0,72.0,7.0,73.0,4.0,202.13326830000003
2.0,59.0,2.0,93.0,10.0,57.0,9.0,94.0,9.0,45.0,9.0,29.0,1.0,30.0,4.0,5.0,2.0,89.0,7.0,77.0,6.0,86.0,7.0,267.90696249999996
2.0,87.0,8.0,93.0,7.0,62.0,4.0,4.0,4.0,36.0,2.0,30.0,3.0,69.0,10.0,50.0,4.0,3.0,8.0,92.0,7.0,37.0,7.0,252.2577757
1.0,23.0,8.0,75.0,2.0,45.0,3.0,32.0,4.0,100.0,1.0,4.0,3.0,70.0,8.0,66.0,6.0,4.0,4.0,69.0,5.0,73.0,5.0,277.7792893
1.0,49.0,7.0,47.0,3.0,38.0,10.0,89.0,1.0,47.0,10.0,15.0,6.0,89.0,9.0,17.0,4.0,1.0,4.0,8.0,2.0,35.0,1.0,235.82189859999997
1.0,95.0,3.0,51.0,8.0,8.0,4.0,41.0,9.0,6.0,4.0,73.0,5.0,53.0,8.0,60.0,7.0,71.0,4.0,97.0,5.0,23.0,9.0,265.6318155
2.0,47.0,2.0,23.0,8.0,17.0,7.0,27.0,3.0,61.0,10.0,6.0,2.0,76.0,1.0,88.0,9.0,16.0,4.0,57.0,2.0,41.0,4.0,281.2711251
1.0,10.0,10.0,86.0,6.0,77.0,9.0,64.0,5.0,75.0,10.0,51.0,8.0,32.0,10.0,71.0,3.0,68.0,10.0,29.0,6.0,47.0,7.0,251.82207470000003
2.0,67.0,6.0,86.0,6.0,27.0,6.0,22.0,8.0,60.0,10.0,60.0,5.0,7.0,8.0,56.0,2.0,85.0,2.0,44.0,8.0,75.0,7.0,247.5999633
2.0,42.0,10.0,5.0,3.0,79.0,5.0,47.0,3.0,83.0,4.0,30.0,6.0,40.0,5.0,70.0,9.0,76.0,10.0,60.0,10.0,13.0,10.0,316.0558594
1.0,32.0,2.0,46.0,1.0,33.0,1.0,84.0,5.0,10.0,1.0,40.0,1.0,55.0,3.0,97.0,5.0,57.0,7.0,32.0,8.0,84.0,1.0,282.34447309999996
2.0,85.0,3.0,42.0,7.0,62.0,7.0,43.0,4.0,23.0,5.0,69.0,4.0,83.0,4.0,69.0,10.0,70.0,10.0,26.0,5.0,33.0,10.0,349.1129733
2.0,31.0,7.0,55.0,5.0,2.0,2.0,21.0,5.0,69.0,1.0,94.0,2.0,26.0,1.0,30.0,10.0,2.0,6.0,2.0,9.0,5.0,10.0,194.1759366
1.0,61.0,1.0,57.0,5.0,38.0,10.0,63.0,2.0,51.0,10.0,19.0,4.0,20.0,10.0,9.0,4.0,92.0,6.0,97.0,3.0,12.0,8.0,220.54429199999998
2.0,19.0,7.0,78.0,2.0,63.0,10.0,4.0,2.0,90.0,3.0,45.0,6.0,98.0,5.0,63.0,4.0,41.0,8.0,32.0,5.0,15.0,10.0,279.12304400000005
2.0,28.0,6.0,3.0,3.0,93.0,5.0,51.0,4.0,45.0,1.0,70.0,7.0,68.0,4.0,98.0,5.0,95.0,8.0,72.0,4.0,20.0,7.0,284.6791631
1.0,78.0,5.0,43.0,6.0,83.0,9.0,86.0,7.0,70.0,3.0,47.0,8.0,45.0,6.0,1.0,9.0,42.0,2.0,95.0,9.0,74.0,2.0,263.7957083
1.0,7.0,6.0,38.0,9.0,48.0,3.0,19.0,9.0,58.0,4.0,60.0,6.0,20.0,10.0,28.0,10.0,91.0,5.0,46.0,6.0,57.0,7.0,201.7458937
1.0,1.0,4.0,1.0,5.0,50.0,7.0,2.0,7.0,4.0,2.0,76.0,10.0,73.0,7.0,47.0,8.0,51.0,10.0,67.0,2.0,31.0,8.0,162.9679413
1.0,48.0,3.0,89.0,3.0,67.0,6.0,29.0,9.0,68.0,1.0,97.0,3.0,87.0,3.0,40.0,7.0,96.0,7.0,43.0,2.0,33.0,1.0,268.0896004
2.0,99.0,5.0,19.0,9.0,62.0,8.0,11.0,9.0,52.0,4.0,76.0,1.0,61.0,1.0,14.0,7.0,61.0,1.0,83.0,5.0,13.0,4.0,223.7323612
2.0,33.0,3.0,40.0,9.0,52.0,6.0,46.0,6.0,21.0,6.0,56.0,7.0,72.0,3.0,16.0,5.0,2.0,8.0,97.0,10.0,14.0,2.0,219.23085989999998
2.0,21.0,1.0,79.0,6.0,94.0,3.0,49.0,10.0,8.0,10.0,78.0,4.0,1.0,3.0,89.0,10.0,88.0,2.0,34.0,10.0,74.0,9.0,283.5045312
1.0,82.0,8.0,26.0,9.0,85.0,7.0,18.0,1.0,2.0,10.0,65.0,5.0,93.0,9.0,87.0,5.0,64.0,10.0,43.0,1.0,49.0,9.0,282.30954590000005
1.0,100.0,3.0,99.0,5.0,87.0,3.0,28.0,7.0,66.0,5.0,8.0,3.0,77.0,1.0,77.0,3.0,19.0,9.0,43.0,5.0,80.0,5.0,280.7206686
1.0,80.0,4.0,21.0,1.0,12.0,6.0,67.0,6.0,48.0,9.0,84.0,8.0,34.0,5.0,81.0,2.0,30.0,2.0,99.0,8.0,16.0,1.0,244.56349679999997
1.0,55.0,5.0,9.0,6.0,13.0,7.0,76.0,8.0,76.0,7.0,83.0,10.0,61.0,7.0,77.0,9.0,27.0,10.0,2.0,6.0,5.0,1.0,252.7674331
1.0,76.0,2.0,42.0,8.0,24.0,1.0,41.0,6.0,53.0,7.0,77.0,2.0,63.0,7.0,40.0,7.0,92.0,3.0,69.0,5.0,15.0,7.0,255.9077473
2.0,90.0,3.0,59.0,10.0,67.0,4.0,75.0,9.0,82.0,4.0,83.0,6.0,19.0,4.0,77.0,5.0,12.0,10.0,36.0,9.0,29.0,2.0,283.21069819999997
1.0,63.0,5.0,37.0,3.0,93.0,3.0,61.0,6.0,11.0,3.0,38.0,8.0,51.0,8.0,35.0,4.0,46.0,8.0,2.0,2.0,53.0,7.0,238.7735344
1.0,65.0,9.0,26.0,3.0,77.0,9.0,95.0,1.0,1.0,4.0,42.0,1.0,27.0,3.0,32.0,9.0,25.0,5.0,74.0,9.0,93.0,4.0,233.8614519
1.0,40.0,9.0,89.0,6.0,99.0,7.0,90.0,6.0,18.0,8.0,96.0,3.0,12.0,8.0,15.0,9.0,53.0,9.0,94.0,5.0,5.0,8.0,214.29901510000002
1.0,22.0,1.0,3.0,9.0,26.0,3.0,53.0,4.0,67.0,2.0,96.0,8.0,65.0,10.0,18.0,2.0,89.0,7.0,79.0,8.0,93.0,4.0,202.1485328
1.0,76.0,6.0,83.0,5.0,27.0,5.0,33.0,9.0,11.0,9.0,87.0,6.0,10.0,10.0,30.0,3.0,80.0,10.0,81.0,10.0,69.0,6.0,230.98599710000002
1.0,96.0,1.0,55.0,6.0,41.0,1.0,44.0,10.0,29.0,2.0,29.0,9.0,60.0,2.0,37.0,3.0,4.0,1.0,13.0,8.0,77.0,9.0,245.75486049999995
2.0,64.0,2.0,36.0,8.0,4.0,10.0,89.0,5.0,44.0,3.0,92.0,4.0,41.0,6.0,91.0,10.0,16.0,5.0,5.0,8.0,94.0,4.0,284.4283723
1.0,32.0,7.0,34.0,2.0,50.0,8.0,39.0,7.0,78.0,8.0,19.0,5.0,13.0,7.0,50.0,9.0,29.0,7.0,68.0,5.0,77.0,6.0,251.8926819
1.0,27.0,4.0,26.0,1.0,65.0,6.0,7.0,1.0,21.0,8.0,97.0,3.0,91.0,8.0,12.0,2.0,13.0,3.0,81.0,5.0,83.0,4.0,219.79849449999998
2.0,27.0,10.0,55.0,1.0,10.0,8.0,26.0,5.0,89.0,6.0,47.0,6.0,57.0,10.0,99.0,9.0,12.0,3.0,91.0,3.0,83.0,9.0,282.1381295
2.0,46.0,5.0,30.0,6.0,42.0,2.0,80.0,5.0,84.0,9.0,32.0,5.0,64.0,10.0,97.0,9.0,14.0,5.0,6.0,5.0,35.0,2.0,276.8211394
1.0,38.0,1.0,87.0,5.0,20.0,7.0,40.0,3.0,69.0,5.0,85.0,6.0,60.0,5.0,9.0,4.0,52.0,6.0,41.0,10.0,1.0,2.0,217.51086769999998
2.0,13.0,4.0,19.0,1.0,15.0,4.0,86.0,9.0,23.0,7.0,44.0,4.0,29.0,3.0,35.0,4.0,56.0,5.0,41.0,6.0,89.0,1.0,248.54936229999998
2.0,90.0,4.0,78.0,3.0,30.0,4.0,25.0,8.0,75.0,1.0,70.0,4.0,21.0,9.0,60.0,5.0,30.0,10.0,34.0,4.0,63.0,7.0,304.9386588
1.0,72.0,2.0,98.0,4.0,85.0,6.0,55.0,10.0,33.0,10.0,84.0,4.0,87.0,4.0,69.0,3.0,42.0,6.0,1.0,7.0,44.0,4.0,271.25839189999994
2.0,69.0,6.0,42.0,9.0,25.0,7.0,10.0,6.0,76.0,7.0,91.0,6.0,61.0,10.0,54.0,2.0,24.0,7.0,19.0,1.0,32.0,9.0,253.73203210000003
1.0,72.0,3.0,82.0,8.0,75.0,3.0,47.0,10.0,95.0,10.0,55.0,1.0,44.0,4.0,50.0,4.0,58.0,8.0,100.0,5.0,76.0,2.0,269.1275085
2.0,75.0,9.0,38.0,5.0,17.0,1.0,56.0,3.0,51.0,5.0,28.0,5.0,28.0,3.0,21.0,6.0,48.0,9.0,49.0,5.0,29.0,4.0,253.98813599999997
2.0,83.0,4.0,59.0,4.0,45.0,7.0,67.0,6.0,28.0,8.0,93.0,7.0,33.0,6.0,48.0,9.0,54.0,4.0,28.0,3.0,33.0,5.0,276.04415329999995
1.0,23.0,1.0,100.0,5.0,4.0,3.0,16.0,3.0,36.0,7.0,87.0,10.0,12.0,9.0,56.0,1.0,89.0,10.0,15.0,8.0,99.0,1.0,226.7209837
1.0,87.0,10.0,96.0,7.0,86.0,10.0,30.0,9.0,38.0,9.0,32.0,10.0,76.0,1.0,44.0,5.0,69.0,10.0,74.0,10.0,20.0,3.0,272.69546539999993
1.0,15.0,6.0,7.0,10.0,42.0,7.0,35.0,6.0,3.0,4.0,7.0,7.0,61.0,4.0,98.0,2.0,63.0,3.0,74.0,7.0,32.0,3.0,224.51784589999997
2.0,11.0,8.0,32.0,3.0,69.0,6.0,66.0,6.0,79.0,2.0,37.0,9.0,77.0,8.0,72.0,3.0,35.0,9.0,79.0,10.0,8.0,8.0,257.10251320000003
2.0,38.0,5.0,26.0,3.0,87.0,5.0,91.0,10.0,43.0,7.0,88.0,6.0,34.0,7.0,72.0,5.0,37.0,8.0,83.0,4.0,58.0,9.0,289.40990810000005
1.0,59.0,4.0,84.0,3.0,15.0,5.0,100.0,10.0,58.0,9.0,73.0,4.0,11.0,1.0,83.0,8.0,13.0,2.0,23.0,8.0,31.0,1.0,274.0787897
1.0,71.0,10.0,77.0,2.0,86.0,9.0,41.0,5.0,40.0,6.0,29.0,10.0,48.0,6.0,96.0,7.0,47.0,7.0,5.0,1.0,26.0,10.0,290.8959247
2.0,99.0,1.0,45.0,6.0,2.0,4.0,23.0,1.0,10.0,1.0,31.0,7.0,37.0,5.0,8.0,2.0,73.0,5.0,100.0,6.0,85.0,9.0,247.24594439999998
1.0,73.0,9.0,45.0,8.0,8.0,10.0,40.0,3.0,46.0,2.0,15.0,9.0,2.0,6.0,41.0,2.0,40.0,5.0,86.0,5.0,58.0,9.0,200.66058660000002
1.0,93.0,4.0,6.0,8.0,84.0,10.0,63.0,10.0,34.0,10.0,93.0,5.0,92.0,2.0,64.0,4.0,9.0,8.0,12.0,5.0,37.0,1.0,251.61726910000002
2.0,42.0,3.0,26.0,6.0,43.0,10.0,75.0,2.0,42.0,1.0,84.0,2.0,27.0,9.0,14.0,8.0,46.0,8.0,49.0,2.0,19.0,10.0,249.4469273
2.0,83.0,2.0,78.0,6.0,92.0,9.0,22.0,8.0,45.0,3.0,75.0,7.0,33.0,6.0,63.0,6.0,28.0,5.0,39.0,9.0,61.0,7.0,287.97868859999994
1.0,36.0,9.0,85.0,1.0,20.0,3.0,68.0,1.0,86.0,9.0,35.0,9.0,52.0,10.0,50.0,9.0,89.0,8.0,48.0,3.0,33.0,7.0,272.47944689999997
2.0,41.0,4.0,25.0,2.0,38.0,6.0,47.0,9.0,53.0,4.0,99.0,2.0,5.0,4.0,55.0,1.0,92.0,5.0,85.0,7.0,49.0,2.0,246.99889119999997
2.0,100.0,7.0,45.0,3.0,40.0,6.0,18.0,7.0,37.0,7.0,57.0,10.0,48.0,3.0,43.0,10.0,89.0,6.0,41.0,7.0,42.0,1.0,296.9642197
2.0,71.0,8.0,86.0,5.0,99.0,1.0,56.0,2.0,97.0,2.0,60.0,8.0,32.0,10.0,54.0,10.0,23.0,5.0,3.0,5.0,14.0,5.0,267.56019200000003
1.0,41.0,7.0,35.0,8.0,91.0,5.0,18.0,3.0,80.0,9.0,57.0,4.0,47.0,1.0,22.0,7.0,82.0,1.0,29.0,7.0,29.0,8.0,234.6819609
1.0,25.0,10.0,14.0,10.0,61.0,8.0,22.0,7.0,27.0,4.0,38.0,2.0,4.0,10.0,16.0,8.0,85.0,2.0,58.0,1.0,89.0,6.0,187.4055945
1.0,75.0,5.0,75.0,1.0,38.0,6.0,95.0,1.0,74.0,5.0,31.0,10.0,85.0,10.0,27.0,8.0,45.0,10.0,19.0,7.0,28.0,8.0,258.56937200000004
1.0,19.0,4.0,9.0,6.0,78.0,8.0,56.0,10.0,56.0,1.0,66.0,7.0,69.0,7.0,26.0,5.0,81.0,10.0,17.0,10.0,51.0,10.0,228.41447630000002
2.0,61.0,10.0,67.0,5.0,87.0,3.0,92.0,3.0,35.0,1.0,12.0,8.0,19.0,1.0,89.0,6.0,29.0,8.0,73.0,4.0,70.0,9.0,302.63901739999994
2.0,50.0,4.0,95.0,2.0,84.0,4.0,20.0,1.0,93.0,2.0,91.0,1.0,23.0,1.0,65.0,9.0,22.0,9.0,95.0,9.0,84.0,2.0,292.81092739999997
2.0,42.0,5.0,44.0,4.0,28.0,10.0,49.0,1.0,85.0,5.0,99.0,8.0,81.0,10.0,1.0,9.0,36.0,4.0,89.0,9.0,30.0,2.0,273.1512000999999
2.0,46.0,5.0,71.0,8.0,19.0,7.0,41.0,2.0,37.0,4.0,75.0,1.0,46.0,4.0,95.0,9.0,89.0,9.0,70.0,1.0,72.0,9.0,321.1715238
1.0,62.0,5.0,12.0,4.0,33.0,2.0,71.0,2.0,15.0,4.0,15.0,9.0,9.0,8.0,30.0,4.0,64.0,2.0,25.0,2.0,83.0,4.0,209.21920830000002
1.0,79.0,10.0,100.0,3.0,94.0,2.0,62.0,2.0,61.0,8.0,95.0,6.0,58.0,6.0,85.0,9.0,8.0,10.0,51.0,10.0,90.0,9.0,299.2811118
2.0,19.0,6.0,76.0,7.0,73.0,1.0,69.0,9.0,49.0,5.0,45.0,5.0,93.0,7.0,68.0,9.0,30.0,1.0,89.0,8.0,52.0,7.0,275.0678719
2.0,79.0,4.0,5.0,1.0,85.0,2.0,3.0,8.0,30.0,7.0,10.0,4.0,44.0,8.0,54.0,5.0,93.0,1.0,24.0,7.0,75.0,4.0,229.89900959999997
1.0,78.0,2.0,88.0,8.0,97.0,2.0,43.0,3.0,4.0,5.0,50.0,8.0,29.0,8.0,81.0,5.0,79.0,2.0,21.0,1.0,2.0,7.0,261.3169061
1.0,33.0,2.0,22.0,2.0,80.0,1.0,19.0,6.0,20.0,3.0,98.0,10.0,68.0,4.0,82.0,1.0,3.0,3.0,92.0,9.0,50.0,5.0,237.99934109999998
2.0,64.0,8.0,60.0,7.0,52.0,7.0,26.0,8.0,60.0,5.0,84.0,2.0,9.0,2.0,6.0,1.0,27.0,9.0,83.0,3.0,26.0,3.0,232.9683777
1.0,89.0,7.0,81.0,3.0,1.0,8.0,39.0,4.0,25.0,7.0,36.0,5.0,30.0,9.0,21.0,3.0,52.0,5.0,21.0,3.0,41.0,4.0,226.17649939999998
1.0,55.0,4.0,52.0,10.0,28.0,9.0,76.0,10.0,9.0,6.0,78.0,4.0,20.0,10.0,31.0,2.0,79.0,1.0,4.0,6.0,3.0,8.0,200.38089599999995
1.0,79.0,1.0,77.0,8.0,98.0,6.0,87.0,4.0,93.0,8.0,92.0,8.0,21.0,4.0,79.0,5.0,93.0,4.0,7.0,9.0,64.0,6.0,280.3934041
1.0,62.0,3.0,3.0,10.0,92.0,1.0,25.0,1.0,34.0,2.0,80.0,1.0,35.0,8.0,99.0,3.0,19.0,8.0,86.0,9.0,82.0,8.0,240.09116499999996
1.0,6.0,9.0,15.0,5.0,12.0,10.0,62.0,1.0,100.0,2.0,11.0,4.0,93.0,2.0,68.0,4.0,96.0,8.0,87.0,1.0,77.0,1.0,221.57028330000003
1.0,65.0,9.0,99.0,1.0,95.0,4.0,5.0,8.0,77.0,10.0,7.0,7.0,2.0,6.0,28.0,4.0,77.0,3.0,14.0,8.0,99.0,3.0,203.9216066
2.0,55.0,6.0,3.0,10.0,57.0,9.0,87.0,1.0,45.0,9.0,87.0,10.0,73.0,6.0,18.0,1.0,49.0,4.0,85.0,6.0,53.0,6.0,209.98643380000001
2.0,90.0,8.0,47.0,5.0,4.0,1.0,27.0,2.0,20.0,6.0,20.0,3.0,66.0,9.0,75.0,4.0,79.0,6.0,57.0,3.0,85.0,4.0,296.8860389
1.0,9.0,1.0,83.0,4.0,24.0,10.0,94.0,4.0,86.0,3.0,3.0,5.0,13.0,4.0,93.0,2.0,80.0,9.0,35.0,8.0,15.0,3.0,225.0330335
1.0,26.0,5.0,26.0,3.0,76.0,9.0,74.0,5.0,69.0,3.0,100.0,2.0,13.0,8.0,66.0,6.0,9.0,5.0,6.0,8.0,16.0,2.0,250.9386733
2.0,27.0,4.0,84.0,4.0,12.0,10.0,37.0,4.0,33.0,5.0,20.0,2.0,27.0,1.0,23.0,10.0,81.0,10.0,99.0,4.0,83.0,8.0,304.44485050000003
1.0,3.0,10.0,40.0,6.0,48.0,10.0,25.0,6.0,37.0,10.0,22.0,7.0,15.0,8.0,68.0,2.0,58.0,9.0,75.0,10.0,64.0,4.0,179.7716276
2.0,3.0,1.0,45.0,10.0,89.0,4.0,20.0,4.0,44.0,6.0,64.0,9.0,95.0,5.0,77.0,5.0,46.0,3.0,84.0,8.0,35.0,1.0,221.28484219999999
1.0,91.0,3.0,32.0,7.0,95.0,6.0,65.0,2.0,87.0,5.0,97.0,2.0,93.0,5.0,22.0,8.0,97.0,5.0,39.0,8.0,97.0,10.0,252.5742337
1.0,65.0,5.0,72.0,7.0,38.0,5.0,6.0,10.0,21.0,4.0,55.0,2.0,93.0,9.0,46.0,8.0,83.0,9.0,48.0,2.0,36.0,9.0,269.94462960000004
1.0,88.0,3.0,23.0,8.0,76.0,6.0,44.0,2.0,48.0,9.0,5.0,5.0,10.0,10.0,42.0,1.0,26.0,1.0,56.0,5.0,73.0,6.0,208.63285130000003
2.0,84.0,6.0,47.0,3.0,79.0,5.0,88.0,7.0,87.0,10.0,89.0,5.0,74.0,3.0,22.0,6.0,92.0,6.0,19.0,1.0,10.0,10.0,263.17715410000005
1.0,84.0,3.0,14.0,10.0,55.0,10.0,7.0,5.0,8.0,10.0,52.0,7.0,3.0,7.0,95.0,10.0,88.0,8.0,4.0,1.0,57.0,7.0,245.1775565
2.0,71.0,4.0,99.0,3.0,4.0,10.0,89.0,7.0,44.0,1.0,89.0,5.0,100.0,5.0,1.0,1.0,5.0,7.0,43.0,10.0,90.0,2.0,256.627853
2.0,25.0,7.0,35.0,3.0,66.0,1.0,47.0,2.0,99.0,3.0,84.0,5.0,24.0,3.0,45.0,3.0,87.0,4.0,54.0,10.0,7.0,3.0,251.0503494
