context,computer(downsampling rate),computer(frame rate),computer_2(downsampling rate),computer_2(frame rate),cups(downsampling rate),cups(frame rate),desk(downsampling rate),desk(frame rate),chair(downsampling rate),chair(frame rate),papers(downsampling rate),papers(frame rate),person_1(downsampling rate),person_1(frame rate),person_2(downsampling rate),person_2(frame rate),score
1.0,70.0,9.0,2.0,2.0,84.0,5.0,36.0,3.0,14.0,4.0,91.0,4.0,16.0,3.0,25.0,8.0,205.40677419999997
1.0,86.0,3.0,35.0,1.0,70.0,8.0,3.0,2.0,57.0,4.0,41.0,9.0,32.0,9.0,97.0,10.0,240.435503
2.0,41.0,8.0,17.0,3.0,8.0,6.0,35.0,8.0,94.0,10.0,67.0,6.0,25.0,3.0,31.0,5.0,194.0016077
2.0,1.0,8.0,98.0,6.0,54.0,10.0,4.0,2.0,47.0,5.0,44.0,10.0,28.0,10.0,9.0,9.0,147.6082729
2.0,73.0,7.0,20.0,2.0,47.0,6.0,68.0,6.0,93.0,1.0,44.0,5.0,41.0,2.0,18.0,1.0,189.0999569
2.0,46.0,9.0,24.0,8.0,10.0,3.0,10.0,10.0,79.0,6.0,33.0,1.0,55.0,6.0,48.0,9.0,219.3522515
1.0,95.0,9.0,63.0,4.0,14.0,3.0,48.0,10.0,38.0,5.0,97.0,3.0,35.0,8.0,32.0,2.0,272.9945918
1.0,82.0,4.0,9.0,9.0,97.0,10.0,1.0,3.0,75.0,5.0,28.0,7.0,24.0,4.0,41.0,5.0,215.1427211
2.0,94.0,6.0,7.0,2.0,13.0,7.0,93.0,7.0,26.0,2.0,57.0,6.0,72.0,7.0,78.0,6.0,246.48172330000003
2.0,91.0,3.0,42.0,2.0,32.0,6.0,84.0,10.0,2.0,1.0,14.0,5.0,86.0,1.0,72.0,3.0,182.58615190000003
2.0,37.0,6.0,73.0,2.0,16.0,5.0,61.0,7.0,60.0,3.0,94.0,1.0,43.0,7.0,16.0,10.0,247.80043619999998
2.0,35.0,10.0,67.0,10.0,44.0,2.0,11.0,5.0,75.0,9.0,33.0,9.0,72.0,5.0,61.0,8.0,245.1760905
2.0,12.0,10.0,27.0,8.0,86.0,7.0,89.0,4.0,90.0,3.0,37.0,1.0,43.0,4.0,38.0,7.0,227.1059611
2.0,87.0,7.0,75.0,3.0,64.0,10.0,84.0,10.0,61.0,8.0,4.0,1.0,62.0,8.0,7.0,4.0,231.54185560000002
2.0,80.0,2.0,47.0,1.0,98.0,10.0,22.0,7.0,29.0,1.0,66.0,10.0,3.0,5.0,93.0,2.0,200.820141
2.0,49.0,1.0,58.0,2.0,68.0,7.0,35.0,2.0,91.0,5.0,29.0,3.0,11.0,3.0,60.0,2.0,183.45657530000003
1.0,66.0,6.0,75.0,7.0,80.0,6.0,30.0,5.0,99.0,1.0,66.0,3.0,96.0,6.0,58.0,3.0,320.4634289
1.0,9.0,3.0,51.0,4.0,13.0,9.0,33.0,10.0,69.0,1.0,38.0,1.0,99.0,5.0,16.0,1.0,298.26518939999994
1.0,66.0,8.0,62.0,3.0,75.0,9.0,64.0,8.0,32.0,8.0,5.0,4.0,59.0,4.0,17.0,5.0,285.6364479
2.0,65.0,8.0,96.0,3.0,1.0,4.0,48.0,1.0,19.0,9.0,46.0,2.0,70.0,5.0,99.0,8.0,234.0517452
1.0,55.0,1.0,62.0,5.0,6.0,7.0,73.0,5.0,23.0,3.0,94.0,8.0,24.0,6.0,85.0,5.0,259.5591837
2.0,2.0,2.0,44.0,4.0,94.0,10.0,88.0,10.0,17.0,8.0,30.0,3.0,45.0,2.0,9.0,8.0,189.873411
1.0,69.0,3.0,90.0,1.0,17.0,4.0,2.0,2.0,20.0,9.0,31.0,9.0,15.0,6.0,71.0,1.0,213.85260490000002
2.0,91.0,5.0,52.0,5.0,42.0,10.0,31.0,2.0,55.0,9.0,41.0,3.0,85.0,8.0,59.0,8.0,267.6483488
1.0,90.0,1.0,54.0,10.0,98.0,2.0,35.0,9.0,40.0,7.0,5.0,9.0,39.0,10.0,54.0,5.0,267.35639100000003
1.0,73.0,10.0,24.0,8.0,62.0,7.0,78.0,4.0,2.0,6.0,55.0,10.0,51.0,8.0,20.0,6.0,262.56939150000005
1.0,73.0,6.0,89.0,10.0,39.0,1.0,82.0,1.0,6.0,1.0,48.0,5.0,51.0,4.0,46.0,7.0,263.8286706
1.0,90.0,8.0,61.0,10.0,82.0,3.0,79.0,1.0,14.0,8.0,93.0,9.0,72.0,9.0,14.0,8.0,312.1262788
2.0,11.0,1.0,83.0,9.0,8.0,3.0,97.0,1.0,75.0,9.0,33.0,4.0,40.0,6.0,27.0,1.0,189.61645670000001
2.0,15.0,1.0,15.0,3.0,80.0,1.0,44.0,5.0,13.0,2.0,10.0,3.0,86.0,7.0,94.0,4.0,241.8575808
1.0,70.0,9.0,71.0,5.0,10.0,10.0,88.0,4.0,44.0,6.0,43.0,3.0,90.0,6.0,40.0,5.0,317.4655147
2.0,14.0,10.0,82.0,3.0,62.0,1.0,53.0,8.0,73.0,9.0,56.0,10.0,34.0,9.0,94.0,5.0,224.74192029999998
2.0,38.0,2.0,68.0,9.0,12.0,1.0,5.0,4.0,21.0,4.0,4.0,3.0,100.0,7.0,31.0,4.0,215.19051779999998
2.0,34.0,2.0,60.0,9.0,88.0,6.0,30.0,1.0,22.0,3.0,60.0,3.0,96.0,2.0,62.0,9.0,243.44510590000002
2.0,31.0,1.0,16.0,9.0,12.0,8.0,53.0,10.0,67.0,5.0,12.0,7.0,36.0,1.0,1.0,4.0,173.80054269999997
2.0,4.0,10.0,46.0,4.0,90.0,1.0,99.0,9.0,13.0,5.0,94.0,4.0,21.0,5.0,76.0,3.0,164.8836847
1.0,85.0,5.0,72.0,4.0,21.0,1.0,91.0,4.0,35.0,4.0,63.0,10.0,37.0,4.0,97.0,1.0,273.0581275
1.0,56.0,6.0,54.0,4.0,81.0,1.0,76.0,10.0,53.0,1.0,93.0,7.0,39.0,1.0,86.0,1.0,263.33018680000004
2.0,53.0,10.0,19.0,9.0,26.0,8.0,51.0,3.0,52.0,7.0,17.0,5.0,72.0,1.0,18.0,3.0,203.25025820000002
1.0,43.0,10.0,71.0,2.0,96.0,1.0,85.0,7.0,27.0,2.0,94.0,9.0,38.0,2.0,76.0,5.0,272.0189668
2.0,54.0,3.0,44.0,6.0,75.0,2.0,25.0,10.0,27.0,4.0,95.0,6.0,41.0,1.0,82.0,6.0,206.86073229999997
2.0,48.0,9.0,70.0,2.0,28.0,4.0,14.0,1.0,43.0,5.0,18.0,1.0,92.0,5.0,36.0,1.0,227.0425325
1.0,91.0,6.0,73.0,5.0,77.0,6.0,62.0,1.0,92.0,10.0,44.0,4.0,16.0,10.0,10.0,9.0,260.53889480000004
2.0,88.0,2.0,54.0,5.0,24.0,8.0,96.0,10.0,14.0,1.0,14.0,9.0,26.0,3.0,1.0,4.0,181.03997479999998
1.0,44.0,8.0,72.0,3.0,82.0,6.0,24.0,3.0,79.0,8.0,42.0,10.0,32.0,2.0,11.0,2.0,261.838286
1.0,27.0,7.0,72.0,4.0,45.0,6.0,8.0,2.0,79.0,4.0,86.0,6.0,92.0,1.0,32.0,3.0,263.51567339999997
1.0,35.0,10.0,30.0,4.0,66.0,1.0,76.0,10.0,18.0,5.0,66.0,8.0,12.0,10.0,6.0,5.0,255.6908999
1.0,86.0,2.0,33.0,2.0,51.0,9.0,54.0,2.0,89.0,4.0,34.0,10.0,2.0,3.0,17.0,2.0,278.04873440000006
1.0,95.0,2.0,49.0,2.0,62.0,9.0,46.0,3.0,44.0,5.0,50.0,2.0,27.0,3.0,82.0,9.0,265.0853851
2.0,73.0,4.0,43.0,5.0,95.0,5.0,96.0,3.0,80.0,4.0,52.0,1.0,66.0,9.0,23.0,10.0,278.51440949999994
1.0,47.0,10.0,96.0,10.0,93.0,3.0,3.0,7.0,55.0,7.0,28.0,5.0,38.0,4.0,66.0,1.0,235.05651089999998
1.0,1.0,1.0,9.0,9.0,77.0,2.0,8.0,10.0,98.0,4.0,70.0,1.0,51.0,4.0,84.0,6.0,206.5076726
2.0,94.0,4.0,16.0,7.0,31.0,1.0,97.0,6.0,17.0,6.0,50.0,1.0,38.0,4.0,54.0,2.0,200.7996284
1.0,20.0,7.0,67.0,1.0,81.0,9.0,91.0,6.0,24.0,5.0,94.0,1.0,73.0,4.0,18.0,2.0,303.3528012
2.0,26.0,7.0,78.0,1.0,2.0,4.0,68.0,1.0,73.0,4.0,34.0,7.0,79.0,2.0,46.0,9.0,222.639757
1.0,77.0,10.0,36.0,7.0,74.0,10.0,18.0,7.0,29.0,7.0,95.0,4.0,43.0,8.0,96.0,5.0,279.27479270000003
1.0,3.0,1.0,60.0,1.0,44.0,5.0,15.0,4.0,12.0,6.0,12.0,6.0,84.0,6.0,74.0,4.0,242.71115860000003
2.0,59.0,1.0,86.0,5.0,64.0,2.0,72.0,10.0,35.0,4.0,29.0,1.0,42.0,1.0,14.0,5.0,203.8996588
1.0,12.0,4.0,29.0,2.0,17.0,10.0,29.0,7.0,86.0,2.0,99.0,7.0,73.0,4.0,82.0,8.0,297.1251049
1.0,32.0,3.0,97.0,3.0,84.0,9.0,12.0,2.0,90.0,4.0,19.0,2.0,11.0,4.0,70.0,2.0,241.07923679999996
1.0,33.0,3.0,59.0,10.0,60.0,10.0,44.0,4.0,100.0,9.0,19.0,2.0,68.0,6.0,34.0,8.0,301.1195752
1.0,9.0,8.0,52.0,2.0,66.0,10.0,11.0,5.0,88.0,2.0,12.0,8.0,32.0,1.0,90.0,1.0,227.56216419999998
1.0,78.0,7.0,26.0,3.0,17.0,8.0,100.0,6.0,59.0,1.0,21.0,9.0,66.0,6.0,73.0,5.0,295.55003619999997
2.0,3.0,4.0,76.0,9.0,3.0,3.0,50.0,2.0,65.0,9.0,91.0,3.0,70.0,9.0,50.0,3.0,195.4812435
2.0,15.0,6.0,80.0,8.0,91.0,9.0,51.0,4.0,3.0,9.0,88.0,10.0,65.0,6.0,49.0,3.0,207.68417
2.0,13.0,3.0,46.0,1.0,31.0,8.0,13.0,5.0,41.0,5.0,7.0,10.0,45.0,9.0,86.0,1.0,192.02056129999997
2.0,54.0,1.0,48.0,5.0,4.0,10.0,7.0,2.0,9.0,5.0,55.0,10.0,50.0,1.0,16.0,10.0,182.91328850000002
2.0,85.0,10.0,32.0,5.0,89.0,4.0,68.0,9.0,44.0,6.0,87.0,6.0,28.0,2.0,18.0,8.0,209.9830896
1.0,34.0,4.0,50.0,9.0,16.0,1.0,55.0,7.0,91.0,5.0,14.0,5.0,96.0,5.0,2.0,3.0,301.50635040000003
1.0,45.0,9.0,58.0,7.0,81.0,10.0,13.0,2.0,1.0,1.0,33.0,5.0,10.0,8.0,36.0,8.0,219.19226000000003
2.0,11.0,5.0,5.0,1.0,40.0,3.0,88.0,2.0,67.0,6.0,75.0,4.0,3.0,5.0,77.0,5.0,206.4522257
2.0,17.0,2.0,41.0,4.0,63.0,2.0,53.0,3.0,16.0,3.0,95.0,9.0,45.0,8.0,84.0,9.0,232.16251179999998
2.0,71.0,9.0,8.0,7.0,67.0,9.0,80.0,5.0,78.0,4.0,14.0,8.0,4.0,2.0,8.0,3.0,191.9341729
2.0,17.0,8.0,73.0,5.0,35.0,4.0,100.0,5.0,29.0,8.0,69.0,5.0,70.0,4.0,59.0,9.0,251.1754037
2.0,90.0,10.0,61.0,1.0,76.0,8.0,14.0,10.0,37.0,5.0,26.0,8.0,28.0,6.0,25.0,5.0,203.4131989
1.0,28.0,3.0,44.0,3.0,17.0,3.0,31.0,10.0,92.0,6.0,88.0,6.0,13.0,1.0,68.0,4.0,247.47865630000004
1.0,60.0,5.0,86.0,4.0,3.0,1.0,49.0,5.0,56.0,3.0,35.0,8.0,34.0,9.0,23.0,5.0,262.79798
2.0,88.0,3.0,56.0,2.0,78.0,2.0,20.0,8.0,93.0,2.0,99.0,9.0,37.0,3.0,25.0,6.0,214.71735999999999
1.0,63.0,6.0,67.0,1.0,82.0,4.0,53.0,4.0,13.0,7.0,8.0,3.0,91.0,1.0,69.0,3.0,264.4072041
1.0,79.0,4.0,44.0,5.0,49.0,3.0,32.0,10.0,96.0,10.0,72.0,6.0,97.0,1.0,76.0,9.0,285.4300043
1.0,40.0,4.0,22.0,1.0,81.0,8.0,83.0,1.0,63.0,4.0,100.0,7.0,13.0,3.0,100.0,3.0,256.83713279999995
2.0,34.0,10.0,44.0,6.0,50.0,2.0,11.0,10.0,50.0,7.0,73.0,4.0,12.0,9.0,83.0,7.0,194.46818209999998
2.0,51.0,1.0,34.0,6.0,29.0,10.0,86.0,2.0,22.0,10.0,43.0,10.0,92.0,7.0,58.0,10.0,298.45449169999995
2.0,4.0,6.0,17.0,2.0,35.0,4.0,13.0,8.0,2.0,3.0,62.0,3.0,36.0,5.0,9.0,5.0,143.2456499
1.0,44.0,10.0,43.0,3.0,27.0,10.0,27.0,6.0,3.0,6.0,28.0,8.0,49.0,7.0,62.0,3.0,248.9715061
1.0,79.0,3.0,51.0,3.0,79.0,10.0,94.0,2.0,26.0,8.0,95.0,7.0,57.0,4.0,21.0,9.0,299.40878730000003
1.0,13.0,6.0,18.0,8.0,29.0,10.0,20.0,8.0,10.0,2.0,59.0,9.0,56.0,8.0,88.0,10.0,265.35570140000004
1.0,69.0,6.0,31.0,1.0,50.0,9.0,66.0,4.0,96.0,5.0,67.0,7.0,69.0,4.0,75.0,5.0,304.6928682
1.0,63.0,5.0,37.0,1.0,77.0,4.0,30.0,6.0,32.0,5.0,56.0,7.0,67.0,6.0,91.0,9.0,301.96333419999996
1.0,95.0,8.0,23.0,6.0,53.0,6.0,6.0,3.0,26.0,6.0,40.0,5.0,23.0,5.0,16.0,10.0,231.5436627
1.0,25.0,2.0,83.0,8.0,51.0,8.0,71.0,4.0,47.0,1.0,30.0,7.0,12.0,8.0,55.0,7.0,256.43897960000004
2.0,87.0,10.0,43.0,3.0,27.0,1.0,46.0,5.0,53.0,6.0,66.0,1.0,80.0,7.0,72.0,10.0,294.0465709
2.0,36.0,9.0,86.0,5.0,70.0,4.0,14.0,7.0,15.0,10.0,54.0,10.0,33.0,6.0,13.0,9.0,207.150616
1.0,28.0,8.0,38.0,2.0,15.0,10.0,44.0,2.0,52.0,8.0,48.0,1.0,30.0,2.0,19.0,2.0,253.84454760000003
2.0,52.0,1.0,99.0,4.0,21.0,5.0,53.0,6.0,27.0,5.0,19.0,1.0,62.0,8.0,75.0,3.0,232.14466
1.0,15.0,8.0,80.0,2.0,53.0,3.0,61.0,3.0,99.0,2.0,68.0,2.0,21.0,8.0,52.0,4.0,264.6114505
2.0,73.0,6.0,57.0,8.0,48.0,3.0,21.0,7.0,37.0,3.0,41.0,7.0,7.0,8.0,53.0,4.0,192.0962729
1.0,10.0,4.0,43.0,6.0,28.0,3.0,13.0,7.0,8.0,2.0,82.0,9.0,2.0,7.0,37.0,2.0,242.7399701
2.0,28.0,2.0,48.0,9.0,43.0,3.0,91.0,8.0,81.0,2.0,34.0,1.0,15.0,9.0,54.0,8.0,209.13906430000003
1.0,74.0,3.0,62.0,9.0,43.0,4.0,61.0,3.0,41.0,3.0,54.0,5.0,27.0,6.0,81.0,10.0,272.875883
2.0,92.0,5.0,12.0,10.0,96.0,7.0,47.0,8.0,18.0,8.0,6.0,1.0,55.0,7.0,22.0,9.0,234.1206037
2.0,23.0,2.0,24.0,9.0,46.0,4.0,67.0,2.0,12.0,7.0,20.0,10.0,23.0,3.0,35.0,7.0,195.6248942
2.0,21.0,4.0,11.0,2.0,13.0,5.0,78.0,1.0,32.0,5.0,81.0,4.0,43.0,3.0,76.0,9.0,215.8953193
2.0,44.0,5.0,13.0,4.0,79.0,2.0,15.0,5.0,47.0,5.0,33.0,3.0,10.0,1.0,29.0,8.0,195.0578591
2.0,7.0,10.0,55.0,6.0,97.0,7.0,73.0,1.0,39.0,3.0,96.0,8.0,86.0,3.0,72.0,4.0,238.0829134
1.0,83.0,6.0,45.0,8.0,6.0,5.0,39.0,8.0,54.0,6.0,94.0,5.0,52.0,4.0,19.0,3.0,279.4702234999999
1.0,87.0,1.0,48.0,1.0,56.0,2.0,34.0,8.0,1.0,3.0,17.0,5.0,76.0,3.0,67.0,6.0,264.2102326
1.0,26.0,10.0,95.0,5.0,98.0,2.0,93.0,4.0,51.0,4.0,29.0,7.0,43.0,8.0,17.0,5.0,281.8814998000001
2.0,98.0,1.0,47.0,2.0,48.0,8.0,57.0,10.0,52.0,9.0,86.0,2.0,100.0,7.0,9.0,8.0,266.92430759999996
2.0,40.0,1.0,75.0,5.0,53.0,7.0,24.0,1.0,42.0,4.0,63.0,10.0,69.0,8.0,51.0,2.0,234.51604680000003
2.0,52.0,4.0,84.0,9.0,95.0,9.0,52.0,3.0,82.0,7.0,51.0,7.0,28.0,8.0,49.0,9.0,217.21919329999997
2.0,57.0,7.0,24.0,9.0,40.0,7.0,45.0,1.0,63.0,6.0,51.0,8.0,62.0,2.0,28.0,10.0,255.78974399999998
1.0,24.0,6.0,23.0,3.0,93.0,6.0,90.0,9.0,1.0,10.0,9.0,8.0,34.0,10.0,10.0,7.0,236.6919086
2.0,4.0,3.0,5.0,10.0,72.0,2.0,31.0,3.0,64.0,7.0,1.0,9.0,65.0,5.0,6.0,8.0,192.8829254
2.0,16.0,2.0,41.0,2.0,22.0,8.0,64.0,7.0,28.0,1.0,29.0,2.0,3.0,9.0,17.0,10.0,237.4788688
1.0,98.0,5.0,85.0,7.0,60.0,7.0,81.0,5.0,90.0,5.0,94.0,5.0,83.0,6.0,99.0,2.0,320.866452
1.0,71.0,10.0,29.0,10.0,19.0,6.0,8.0,3.0,71.0,4.0,5.0,7.0,5.0,9.0,14.0,9.0,232.48084949999998
2.0,90.0,6.0,21.0,8.0,96.0,3.0,73.0,7.0,69.0,10.0,51.0,10.0,83.0,4.0,93.0,4.0,250.1568719
2.0,7.0,1.0,22.0,1.0,12.0,10.0,66.0,4.0,96.0,7.0,72.0,10.0,72.0,1.0,74.0,8.0,213.94941390000002
2.0,89.0,8.0,36.0,6.0,86.0,2.0,52.0,3.0,55.0,9.0,60.0,2.0,21.0,1.0,77.0,6.0,203.89173479999997
1.0,33.0,5.0,83.0,7.0,8.0,9.0,39.0,5.0,60.0,4.0,17.0,5.0,23.0,9.0,80.0,9.0,248.7553256
1.0,17.0,10.0,8.0,4.0,38.0,3.0,5.0,6.0,66.0,5.0,32.0,7.0,89.0,7.0,37.0,2.0,266.7106361
1.0,67.0,5.0,30.0,1.0,11.0,5.0,1.0,5.0,19.0,7.0,50.0,3.0,27.0,9.0,13.0,7.0,222.9950351
2.0,21.0,3.0,34.0,3.0,100.0,6.0,32.0,3.0,50.0,1.0,33.0,10.0,11.0,5.0,8.0,4.0,184.62641679999996
1.0,27.0,7.0,3.0,4.0,61.0,4.0,65.0,8.0,52.0,3.0,89.0,6.0,40.0,2.0,53.0,9.0,220.39774740000001
1.0,4.0,10.0,58.0,5.0,63.0,10.0,28.0,9.0,86.0,9.0,44.0,9.0,33.0,3.0,58.0,8.0,217.1459598
1.0,42.0,5.0,75.0,2.0,39.0,9.0,44.0,4.0,30.0,5.0,7.0,3.0,92.0,1.0,14.0,9.0,271.9050716
2.0,81.0,2.0,3.0,9.0,64.0,10.0,77.0,7.0,88.0,2.0,92.0,10.0,49.0,8.0,18.0,5.0,205.8640572
2.0,56.0,9.0,33.0,1.0,86.0,5.0,78.0,3.0,24.0,1.0,72.0,5.0,65.0,9.0,28.0,8.0,256.5610268
1.0,19.0,1.0,56.0,2.0,45.0,2.0,25.0,4.0,82.0,9.0,11.0,10.0,90.0,8.0,14.0,10.0,311.079679
2.0,71.0,7.0,98.0,10.0,54.0,2.0,52.0,4.0,75.0,7.0,95.0,6.0,64.0,3.0,55.0,7.0,248.19710929999997
2.0,13.0,6.0,26.0,2.0,32.0,4.0,68.0,3.0,40.0,9.0,13.0,1.0,93.0,3.0,97.0,1.0,223.8190593
2.0,61.0,6.0,16.0,1.0,21.0,1.0,6.0,10.0,44.0,2.0,73.0,10.0,77.0,1.0,49.0,1.0,169.07784709999999
1.0,81.0,1.0,26.0,8.0,2.0,2.0,56.0,4.0,57.0,10.0,16.0,6.0,71.0,6.0,8.0,3.0,286.0388808
2.0,100.0,3.0,65.0,3.0,39.0,7.0,69.0,9.0,22.0,4.0,59.0,6.0,77.0,1.0,50.0,1.0,203.5093562
2.0,72.0,2.0,6.0,1.0,4.0,10.0,22.0,8.0,19.0,6.0,98.0,10.0,81.0,1.0,54.0,8.0,204.3456508
2.0,42.0,4.0,81.0,2.0,97.0,5.0,27.0,7.0,61.0,7.0,58.0,8.0,99.0,3.0,56.0,10.0,286.6833146
2.0,57.0,3.0,18.0,4.0,59.0,10.0,74.0,4.0,22.0,1.0,18.0,3.0,23.0,2.0,62.0,9.0,201.3140776
2.0,17.0,1.0,67.0,7.0,94.0,4.0,26.0,1.0,78.0,3.0,58.0,6.0,93.0,4.0,19.0,4.0,246.6773283
2.0,75.0,6.0,70.0,4.0,66.0,9.0,54.0,6.0,86.0,10.0,90.0,5.0,16.0,5.0,30.0,1.0,180.7189749
2.0,86.0,1.0,34.0,5.0,87.0,10.0,15.0,2.0,37.0,3.0,33.0,8.0,15.0,1.0,20.0,8.0,194.3034944
2.0,46.0,2.0,39.0,9.0,71.0,10.0,55.0,7.0,10.0,10.0,88.0,8.0,89.0,6.0,9.0,7.0,245.6358854
1.0,74.0,8.0,9.0,2.0,81.0,4.0,5.0,7.0,75.0,7.0,85.0,1.0,28.0,2.0,71.0,2.0,216.8973911
1.0,48.0,3.0,81.0,4.0,32.0,10.0,64.0,4.0,34.0,5.0,87.0,6.0,19.0,1.0,59.0,7.0,257.6184812
2.0,46.0,4.0,39.0,8.0,43.0,8.0,68.0,10.0,17.0,1.0,47.0,2.0,30.0,1.0,97.0,7.0,203.26678719999998
1.0,64.0,3.0,20.0,7.0,80.0,7.0,83.0,9.0,63.0,8.0,39.0,2.0,12.0,1.0,89.0,7.0,250.74788529999998
1.0,29.0,2.0,40.0,7.0,58.0,3.0,92.0,7.0,11.0,5.0,100.0,3.0,68.0,7.0,58.0,6.0,296.3424839
2.0,65.0,3.0,93.0,7.0,12.0,3.0,99.0,3.0,14.0,4.0,46.0,9.0,60.0,4.0,9.0,9.0,226.8409259
2.0,86.0,7.0,30.0,10.0,98.0,9.0,20.0,5.0,88.0,3.0,25.0,5.0,68.0,3.0,30.0,2.0,219.5710008
1.0,3.0,7.0,64.0,3.0,95.0,1.0,44.0,5.0,53.0,2.0,17.0,10.0,26.0,10.0,30.0,10.0,213.85120049999998
2.0,48.0,10.0,43.0,7.0,37.0,2.0,11.0,4.0,86.0,1.0,58.0,9.0,61.0,2.0,41.0,10.0,247.41587859999998
2.0,27.0,5.0,67.0,7.0,45.0,4.0,77.0,9.0,51.0,2.0,45.0,4.0,71.0,2.0,43.0,1.0,212.60970100000003
2.0,88.0,9.0,2.0,5.0,15.0,1.0,75.0,2.0,18.0,9.0,36.0,6.0,79.0,10.0,1.0,9.0,218.2072776
1.0,75.0,6.0,23.0,10.0,55.0,1.0,37.0,4.0,74.0,7.0,33.0,2.0,70.0,3.0,43.0,1.0,288.5569734
1.0,94.0,10.0,51.0,1.0,87.0,2.0,73.0,7.0,3.0,3.0,29.0,7.0,78.0,3.0,9.0,3.0,272.89059569999995
1.0,1.0,1.0,96.0,10.0,95.0,5.0,85.0,8.0,72.0,7.0,14.0,7.0,56.0,8.0,5.0,2.0,231.428379
2.0,36.0,1.0,12.0,9.0,30.0,1.0,73.0,9.0,100.0,6.0,82.0,10.0,64.0,2.0,50.0,5.0,230.75634559999997
1.0,9.0,8.0,35.0,5.0,42.0,4.0,36.0,5.0,14.0,9.0,67.0,5.0,18.0,7.0,60.0,10.0,252.94271690000002
1.0,40.0,9.0,89.0,6.0,92.0,3.0,52.0,5.0,50.0,4.0,64.0,6.0,36.0,4.0,48.0,8.0,276.6875071
1.0,76.0,9.0,33.0,5.0,91.0,5.0,38.0,9.0,30.0,8.0,83.0,9.0,66.0,1.0,66.0,10.0,281.5004958
1.0,30.0,10.0,55.0,8.0,24.0,5.0,25.0,3.0,5.0,3.0,7.0,2.0,88.0,7.0,62.0,7.0,276.0957404
1.0,95.0,9.0,44.0,10.0,94.0,7.0,4.0,9.0,49.0,5.0,66.0,3.0,53.0,6.0,54.0,6.0,257.3259193
1.0,65.0,3.0,66.0,8.0,10.0,2.0,68.0,2.0,33.0,5.0,14.0,3.0,17.0,9.0,72.0,10.0,254.17599520000002
1.0,44.0,5.0,93.0,2.0,5.0,8.0,70.0,7.0,32.0,1.0,49.0,3.0,76.0,10.0,45.0,2.0,307.8133465
2.0,79.0,9.0,10.0,6.0,29.0,8.0,58.0,8.0,5.0,10.0,63.0,6.0,54.0,5.0,81.0,2.0,183.35063680000002
1.0,56.0,4.0,41.0,4.0,22.0,7.0,29.0,4.0,78.0,5.0,94.0,10.0,78.0,3.0,61.0,10.0,305.3528133
2.0,86.0,6.0,51.0,4.0,5.0,9.0,55.0,5.0,1.0,6.0,74.0,5.0,98.0,3.0,73.0,9.0,216.35340269999998
2.0,18.0,3.0,89.0,5.0,11.0,3.0,62.0,7.0,55.0,3.0,15.0,4.0,8.0,4.0,75.0,9.0,198.74101530000002
2.0,28.0,3.0,80.0,4.0,90.0,8.0,25.0,3.0,87.0,10.0,41.0,3.0,85.0,10.0,85.0,10.0,303.1358353
1.0,50.0,9.0,63.0,2.0,51.0,9.0,72.0,10.0,32.0,1.0,57.0,4.0,13.0,2.0,77.0,4.0,256.8117944
2.0,8.0,6.0,46.0,9.0,23.0,8.0,72.0,4.0,65.0,3.0,84.0,4.0,75.0,2.0,81.0,2.0,215.6985959
1.0,56.0,3.0,94.0,3.0,21.0,3.0,74.0,4.0,68.0,4.0,22.0,7.0,65.0,5.0,1.0,9.0,294.44173989999996
1.0,54.0,8.0,37.0,5.0,29.0,3.0,17.0,2.0,70.0,5.0,23.0,8.0,90.0,10.0,89.0,7.0,312.8928407000001
1.0,40.0,8.0,33.0,1.0,88.0,10.0,31.0,2.0,1.0,2.0,22.0,1.0,90.0,8.0,57.0,5.0,282.7465524
1.0,78.0,1.0,42.0,5.0,58.0,1.0,26.0,3.0,62.0,9.0,41.0,10.0,66.0,4.0,44.0,3.0,292.4594063
1.0,56.0,4.0,11.0,8.0,93.0,3.0,75.0,3.0,28.0,3.0,55.0,1.0,89.0,4.0,23.0,6.0,305.9679346
1.0,39.0,7.0,77.0,10.0,61.0,7.0,67.0,5.0,27.0,9.0,56.0,1.0,69.0,2.0,10.0,2.0,285.7613884
2.0,49.0,1.0,63.0,5.0,97.0,8.0,73.0,6.0,91.0,4.0,59.0,8.0,29.0,9.0,44.0,1.0,196.1575041
1.0,86.0,6.0,4.0,4.0,14.0,1.0,86.0,7.0,89.0,8.0,60.0,8.0,80.0,4.0,7.0,2.0,264.11780539999995
2.0,12.0,4.0,99.0,8.0,44.0,5.0,45.0,10.0,5.0,6.0,81.0,8.0,95.0,6.0,79.0,6.0,237.0932276
1.0,36.0,7.0,16.0,4.0,30.0,6.0,87.0,5.0,8.0,6.0,30.0,8.0,91.0,8.0,30.0,4.0,288.81745040000004
2.0,43.0,5.0,45.0,8.0,57.0,8.0,8.0,6.0,11.0,8.0,83.0,10.0,62.0,5.0,81.0,5.0,216.0413654
2.0,37.0,1.0,26.0,10.0,61.0,10.0,2.0,5.0,81.0,3.0,35.0,8.0,33.0,6.0,21.0,8.0,182.9578535
2.0,71.0,9.0,74.0,8.0,41.0,3.0,60.0,2.0,5.0,9.0,33.0,2.0,78.0,9.0,78.0,4.0,225.3283012
2.0,97.0,3.0,6.0,5.0,41.0,2.0,90.0,7.0,93.0,4.0,66.0,7.0,23.0,1.0,100.0,7.0,193.78051950000003
