context,drawer(downsampling rate),drawer(frame rate),cpu(downsampling rate),cpu(frame rate),chair(downsampling rate),chair(frame rate),computer(downsampling rate),computer(frame rate),keyboard(downsampling rate),keyboard(frame rate),mouse(downsampling rate),mouse(frame rate),computer_2(downsampling rate),computer_2(frame rate),bag(downsampling rate),bag(frame rate),clothes(downsampling rate),clothes(frame rate),food(downsampling rate),food(frame rate),canister(downsampling rate),canister(frame rate),papers(downsampling rate),papers(frame rate),desk(downsampling rate),desk(frame rate),person_1(downsampling rate),person_1(frame rate),person_2(downsampling rate),person_2(frame rate),score
2.0,42.0,8.0,65.0,8.0,76.0,6.0,84.0,8.0,52.0,4.0,25.0,1.0,32.0,6.0,17.0,7.0,29.0,6.0,75.0,5.0,13.0,7.0,100.0,1.0,93.0,7.0,45.0,3.0,83.0,8.0,329.95651380000004
2.0,99.0,3.0,23.0,2.0,31.0,5.0,91.0,3.0,18.0,8.0,38.0,4.0,32.0,4.0,2.0,6.0,57.0,2.0,68.0,10.0,14.0,10.0,1.0,9.0,66.0,9.0,17.0,6.0,58.0,5.0,313.02219069999995
1.0,77.0,4.0,56.0,2.0,67.0,2.0,37.0,2.0,73.0,8.0,68.0,5.0,80.0,4.0,82.0,5.0,57.0,2.0,77.0,1.0,99.0,3.0,80.0,3.0,12.0,10.0,93.0,8.0,72.0,1.0,402.5375781
2.0,36.0,5.0,88.0,7.0,40.0,2.0,59.0,1.0,56.0,7.0,49.0,6.0,40.0,5.0,88.0,1.0,52.0,1.0,12.0,5.0,23.0,9.0,22.0,8.0,10.0,7.0,27.0,6.0,7.0,5.0,320.4396534
1.0,81.0,7.0,20.0,4.0,43.0,9.0,10.0,9.0,59.0,10.0,68.0,8.0,46.0,3.0,65.0,10.0,23.0,8.0,11.0,8.0,33.0,6.0,57.0,9.0,40.0,6.0,12.0,10.0,30.0,3.0,356.15705410000004
1.0,23.0,2.0,89.0,8.0,60.0,8.0,29.0,2.0,84.0,6.0,74.0,3.0,2.0,1.0,70.0,8.0,49.0,1.0,69.0,1.0,26.0,10.0,24.0,8.0,90.0,6.0,3.0,4.0,76.0,5.0,282.8688415
2.0,64.0,2.0,89.0,3.0,59.0,9.0,2.0,7.0,34.0,3.0,59.0,7.0,16.0,10.0,11.0,9.0,1.0,7.0,89.0,3.0,14.0,3.0,68.0,4.0,57.0,1.0,34.0,10.0,12.0,1.0,314.92677619999995
2.0,46.0,8.0,24.0,8.0,45.0,5.0,32.0,6.0,8.0,9.0,13.0,4.0,81.0,7.0,100.0,2.0,92.0,6.0,71.0,2.0,26.0,2.0,71.0,6.0,84.0,8.0,73.0,1.0,26.0,10.0,302.4905323
1.0,76.0,6.0,42.0,7.0,72.0,8.0,26.0,1.0,29.0,9.0,93.0,7.0,42.0,4.0,55.0,2.0,59.0,1.0,94.0,1.0,73.0,6.0,59.0,2.0,11.0,3.0,94.0,9.0,46.0,8.0,394.12619870000003
1.0,81.0,2.0,70.0,3.0,51.0,2.0,91.0,6.0,59.0,9.0,80.0,6.0,46.0,9.0,20.0,6.0,72.0,10.0,76.0,10.0,83.0,2.0,83.0,10.0,1.0,4.0,90.0,1.0,83.0,10.0,340.2067507
1.0,29.0,10.0,43.0,7.0,58.0,2.0,40.0,10.0,24.0,6.0,5.0,3.0,95.0,3.0,58.0,6.0,79.0,7.0,66.0,2.0,3.0,1.0,82.0,9.0,54.0,4.0,24.0,5.0,86.0,2.0,389.8363572
1.0,81.0,5.0,9.0,9.0,98.0,10.0,14.0,7.0,96.0,2.0,11.0,10.0,44.0,4.0,87.0,4.0,2.0,10.0,71.0,9.0,3.0,2.0,91.0,5.0,18.0,6.0,62.0,3.0,6.0,1.0,358.7139657999999
2.0,69.0,4.0,1.0,10.0,23.0,2.0,93.0,6.0,46.0,5.0,86.0,4.0,78.0,3.0,79.0,2.0,14.0,6.0,98.0,3.0,100.0,7.0,48.0,9.0,15.0,4.0,45.0,7.0,88.0,8.0,333.60965980000003
1.0,75.0,2.0,72.0,3.0,55.0,4.0,12.0,9.0,16.0,10.0,78.0,4.0,79.0,2.0,64.0,8.0,90.0,7.0,46.0,1.0,31.0,5.0,33.0,4.0,79.0,5.0,28.0,2.0,66.0,8.0,362.75203130000006
2.0,37.0,6.0,82.0,10.0,37.0,3.0,77.0,8.0,13.0,2.0,23.0,1.0,59.0,6.0,31.0,8.0,15.0,10.0,53.0,3.0,73.0,6.0,18.0,3.0,61.0,8.0,3.0,2.0,23.0,1.0,277.6947826
1.0,14.0,2.0,41.0,10.0,95.0,6.0,1.0,6.0,65.0,7.0,85.0,4.0,31.0,4.0,73.0,2.0,18.0,1.0,55.0,2.0,79.0,5.0,17.0,10.0,80.0,9.0,23.0,7.0,97.0,2.0,346.2048281
1.0,26.0,3.0,58.0,8.0,7.0,8.0,6.0,10.0,32.0,2.0,14.0,5.0,82.0,1.0,21.0,6.0,39.0,10.0,27.0,7.0,21.0,1.0,4.0,6.0,83.0,7.0,47.0,5.0,18.0,2.0,324.7452445
1.0,66.0,3.0,33.0,7.0,84.0,6.0,83.0,1.0,4.0,7.0,30.0,6.0,89.0,6.0,79.0,4.0,93.0,5.0,14.0,7.0,13.0,3.0,93.0,1.0,85.0,5.0,73.0,4.0,14.0,10.0,392.1172403
2.0,65.0,2.0,67.0,9.0,7.0,1.0,94.0,3.0,82.0,2.0,96.0,6.0,39.0,1.0,95.0,7.0,13.0,5.0,22.0,5.0,84.0,3.0,30.0,8.0,33.0,10.0,33.0,7.0,36.0,5.0,328.1277769
2.0,54.0,7.0,43.0,5.0,40.0,4.0,89.0,1.0,98.0,10.0,23.0,7.0,65.0,2.0,25.0,5.0,2.0,6.0,78.0,1.0,14.0,6.0,6.0,5.0,96.0,8.0,26.0,3.0,96.0,7.0,321.275284
1.0,34.0,8.0,90.0,4.0,66.0,5.0,18.0,2.0,46.0,10.0,12.0,6.0,59.0,8.0,79.0,3.0,90.0,1.0,11.0,1.0,47.0,10.0,96.0,10.0,29.0,10.0,38.0,2.0,76.0,6.0,365.2084257
1.0,32.0,5.0,97.0,2.0,31.0,9.0,38.0,8.0,10.0,8.0,53.0,2.0,11.0,7.0,81.0,9.0,6.0,7.0,18.0,2.0,48.0,4.0,94.0,2.0,47.0,7.0,4.0,6.0,36.0,4.0,322.51976709999997
1.0,10.0,3.0,88.0,7.0,93.0,9.0,99.0,4.0,44.0,3.0,51.0,9.0,6.0,4.0,94.0,10.0,26.0,8.0,63.0,9.0,84.0,9.0,7.0,1.0,59.0,3.0,63.0,4.0,92.0,1.0,340.13700200000005
2.0,32.0,1.0,68.0,4.0,49.0,4.0,16.0,3.0,73.0,2.0,5.0,4.0,12.0,7.0,55.0,9.0,19.0,10.0,8.0,1.0,90.0,9.0,5.0,1.0,36.0,4.0,90.0,7.0,53.0,10.0,331.18277399999994
1.0,62.0,2.0,37.0,9.0,67.0,2.0,68.0,1.0,57.0,8.0,53.0,5.0,10.0,9.0,64.0,5.0,100.0,5.0,41.0,1.0,100.0,4.0,76.0,10.0,7.0,7.0,88.0,10.0,34.0,8.0,373.83202859999994
2.0,32.0,4.0,58.0,5.0,85.0,10.0,59.0,8.0,9.0,10.0,89.0,1.0,89.0,7.0,58.0,6.0,88.0,8.0,67.0,3.0,50.0,9.0,29.0,9.0,10.0,9.0,5.0,9.0,91.0,9.0,278.43331649999993
2.0,41.0,4.0,18.0,1.0,86.0,7.0,78.0,9.0,1.0,10.0,96.0,5.0,46.0,5.0,9.0,5.0,27.0,8.0,50.0,4.0,84.0,2.0,14.0,7.0,7.0,5.0,16.0,4.0,61.0,3.0,281.2902089
1.0,26.0,3.0,22.0,10.0,84.0,9.0,28.0,2.0,1.0,6.0,85.0,4.0,41.0,4.0,56.0,5.0,67.0,8.0,86.0,7.0,92.0,9.0,38.0,10.0,58.0,5.0,41.0,7.0,65.0,9.0,381.0596304
2.0,48.0,6.0,4.0,10.0,55.0,4.0,85.0,6.0,99.0,6.0,81.0,7.0,44.0,10.0,25.0,1.0,99.0,1.0,92.0,8.0,3.0,1.0,32.0,3.0,59.0,5.0,62.0,7.0,69.0,4.0,335.42832150000004
2.0,38.0,5.0,1.0,1.0,64.0,5.0,8.0,6.0,65.0,9.0,23.0,8.0,10.0,8.0,6.0,1.0,17.0,9.0,92.0,8.0,85.0,10.0,88.0,5.0,64.0,10.0,45.0,1.0,74.0,6.0,274.9440916
1.0,52.0,8.0,69.0,8.0,40.0,2.0,93.0,4.0,72.0,9.0,87.0,10.0,99.0,6.0,39.0,5.0,96.0,9.0,62.0,3.0,94.0,5.0,74.0,10.0,54.0,5.0,11.0,6.0,97.0,1.0,381.57269729999996
2.0,91.0,4.0,84.0,10.0,28.0,3.0,44.0,1.0,23.0,10.0,7.0,6.0,98.0,10.0,83.0,6.0,7.0,4.0,5.0,9.0,68.0,1.0,70.0,2.0,56.0,9.0,76.0,9.0,19.0,2.0,339.31209049999995
1.0,23.0,1.0,38.0,10.0,62.0,8.0,86.0,10.0,45.0,9.0,92.0,6.0,99.0,1.0,51.0,9.0,25.0,1.0,20.0,8.0,50.0,3.0,17.0,6.0,51.0,9.0,58.0,5.0,2.0,5.0,393.9496223
1.0,53.0,7.0,39.0,5.0,50.0,5.0,66.0,3.0,85.0,4.0,11.0,10.0,94.0,5.0,29.0,9.0,85.0,6.0,5.0,6.0,35.0,1.0,17.0,7.0,32.0,9.0,29.0,3.0,10.0,7.0,373.929242
2.0,25.0,1.0,14.0,7.0,50.0,2.0,61.0,3.0,41.0,3.0,19.0,1.0,24.0,6.0,97.0,3.0,37.0,3.0,8.0,8.0,20.0,9.0,98.0,3.0,2.0,2.0,11.0,9.0,11.0,7.0,265.4785645
1.0,17.0,6.0,48.0,5.0,6.0,8.0,54.0,5.0,19.0,9.0,30.0,9.0,64.0,2.0,64.0,3.0,1.0,4.0,99.0,5.0,25.0,8.0,61.0,10.0,27.0,6.0,71.0,6.0,70.0,9.0,377.678167
1.0,81.0,2.0,50.0,1.0,36.0,3.0,98.0,4.0,62.0,5.0,43.0,7.0,32.0,9.0,51.0,10.0,76.0,5.0,24.0,5.0,81.0,6.0,88.0,9.0,7.0,4.0,30.0,7.0,29.0,7.0,382.5017626
1.0,33.0,1.0,15.0,1.0,49.0,4.0,34.0,8.0,90.0,7.0,2.0,7.0,24.0,5.0,40.0,9.0,47.0,10.0,87.0,6.0,13.0,6.0,29.0,2.0,48.0,8.0,2.0,8.0,97.0,3.0,327.887103
1.0,37.0,7.0,90.0,8.0,58.0,8.0,77.0,5.0,47.0,2.0,22.0,5.0,77.0,8.0,90.0,9.0,8.0,8.0,92.0,8.0,12.0,6.0,37.0,10.0,77.0,7.0,58.0,1.0,56.0,8.0,365.754888
2.0,24.0,1.0,17.0,10.0,96.0,6.0,56.0,9.0,16.0,8.0,7.0,4.0,94.0,2.0,100.0,6.0,24.0,3.0,79.0,7.0,27.0,2.0,84.0,3.0,86.0,9.0,82.0,7.0,73.0,9.0,350.6039416
1.0,18.0,9.0,33.0,1.0,86.0,1.0,48.0,3.0,59.0,3.0,38.0,8.0,40.0,1.0,70.0,6.0,4.0,2.0,63.0,4.0,19.0,1.0,18.0,10.0,17.0,1.0,16.0,6.0,30.0,9.0,363.85561120000006
2.0,54.0,6.0,9.0,4.0,22.0,10.0,85.0,1.0,59.0,1.0,70.0,3.0,24.0,8.0,95.0,10.0,1.0,8.0,3.0,4.0,76.0,9.0,64.0,1.0,91.0,4.0,12.0,8.0,19.0,8.0,290.0080001
2.0,51.0,5.0,10.0,3.0,41.0,6.0,68.0,8.0,81.0,2.0,54.0,2.0,60.0,5.0,41.0,6.0,70.0,2.0,31.0,9.0,35.0,2.0,24.0,2.0,71.0,6.0,61.0,1.0,79.0,9.0,303.5165114
2.0,40.0,7.0,84.0,3.0,81.0,1.0,12.0,9.0,67.0,8.0,34.0,8.0,16.0,2.0,52.0,7.0,54.0,6.0,23.0,6.0,19.0,8.0,80.0,10.0,85.0,2.0,20.0,9.0,95.0,7.0,324.7200508
1.0,90.0,10.0,36.0,5.0,70.0,2.0,58.0,6.0,80.0,6.0,65.0,3.0,44.0,6.0,42.0,9.0,77.0,10.0,91.0,4.0,1.0,1.0,98.0,5.0,19.0,1.0,13.0,10.0,19.0,1.0,377.1503722
1.0,20.0,6.0,75.0,4.0,40.0,7.0,68.0,4.0,53.0,3.0,15.0,9.0,45.0,8.0,89.0,8.0,56.0,6.0,64.0,5.0,56.0,4.0,62.0,8.0,13.0,10.0,61.0,6.0,64.0,9.0,392.3038148
2.0,54.0,6.0,17.0,3.0,65.0,1.0,36.0,10.0,73.0,5.0,46.0,4.0,88.0,7.0,93.0,5.0,93.0,2.0,63.0,3.0,17.0,8.0,98.0,6.0,84.0,1.0,95.0,1.0,79.0,8.0,308.52708210000003
2.0,9.0,10.0,9.0,6.0,82.0,2.0,99.0,10.0,23.0,1.0,32.0,4.0,18.0,1.0,30.0,3.0,62.0,10.0,93.0,10.0,23.0,7.0,82.0,8.0,49.0,1.0,84.0,8.0,69.0,9.0,340.60803599999997
2.0,13.0,9.0,83.0,5.0,27.0,7.0,31.0,4.0,82.0,2.0,36.0,5.0,76.0,7.0,71.0,1.0,54.0,10.0,48.0,3.0,64.0,9.0,42.0,4.0,31.0,7.0,5.0,10.0,14.0,7.0,288.5696082
2.0,87.0,5.0,21.0,5.0,63.0,4.0,34.0,2.0,37.0,6.0,44.0,2.0,58.0,7.0,61.0,7.0,91.0,3.0,69.0,1.0,8.0,3.0,98.0,4.0,65.0,10.0,49.0,4.0,49.0,5.0,335.9245405
2.0,30.0,4.0,20.0,8.0,22.0,10.0,42.0,7.0,85.0,1.0,35.0,10.0,94.0,5.0,67.0,8.0,61.0,5.0,41.0,8.0,60.0,10.0,48.0,8.0,62.0,3.0,70.0,8.0,27.0,10.0,351.6482024
2.0,93.0,4.0,7.0,8.0,91.0,3.0,99.0,2.0,51.0,5.0,32.0,2.0,15.0,4.0,97.0,3.0,78.0,1.0,46.0,6.0,91.0,1.0,56.0,4.0,47.0,6.0,2.0,1.0,28.0,5.0,273.5195051
1.0,50.0,2.0,12.0,2.0,70.0,10.0,19.0,8.0,28.0,5.0,18.0,5.0,15.0,1.0,2.0,8.0,10.0,7.0,12.0,1.0,26.0,2.0,60.0,10.0,57.0,6.0,99.0,10.0,34.0,4.0,384.3647983
2.0,74.0,8.0,29.0,1.0,69.0,6.0,61.0,7.0,24.0,2.0,33.0,5.0,92.0,1.0,90.0,5.0,99.0,6.0,59.0,7.0,33.0,6.0,31.0,8.0,67.0,5.0,39.0,3.0,62.0,10.0,340.43398850000005
1.0,64.0,7.0,55.0,8.0,56.0,3.0,100.0,6.0,87.0,3.0,71.0,4.0,60.0,10.0,61.0,5.0,47.0,8.0,51.0,5.0,68.0,3.0,41.0,4.0,32.0,5.0,73.0,3.0,39.0,8.0,388.0012328
1.0,41.0,7.0,40.0,2.0,15.0,8.0,81.0,9.0,46.0,6.0,50.0,3.0,64.0,3.0,87.0,6.0,22.0,6.0,52.0,5.0,57.0,8.0,95.0,6.0,77.0,3.0,71.0,1.0,57.0,1.0,368.31091380000004
2.0,66.0,9.0,87.0,4.0,97.0,6.0,29.0,3.0,44.0,8.0,13.0,8.0,40.0,6.0,76.0,6.0,97.0,9.0,86.0,10.0,52.0,5.0,8.0,9.0,83.0,2.0,47.0,7.0,46.0,4.0,347.20167349999997
2.0,92.0,8.0,6.0,9.0,50.0,7.0,8.0,2.0,16.0,5.0,86.0,10.0,14.0,1.0,91.0,7.0,31.0,8.0,40.0,3.0,21.0,6.0,23.0,3.0,40.0,3.0,70.0,4.0,72.0,5.0,314.156549
2.0,2.0,5.0,72.0,1.0,21.0,7.0,88.0,5.0,33.0,3.0,36.0,9.0,35.0,9.0,34.0,10.0,81.0,8.0,38.0,3.0,40.0,3.0,23.0,6.0,37.0,6.0,100.0,5.0,3.0,6.0,323.9297501
2.0,100.0,8.0,78.0,6.0,23.0,10.0,16.0,2.0,20.0,9.0,9.0,3.0,14.0,2.0,59.0,8.0,100.0,1.0,35.0,7.0,66.0,5.0,49.0,1.0,98.0,4.0,18.0,1.0,3.0,4.0,289.49392439999997
1.0,90.0,3.0,19.0,8.0,8.0,10.0,15.0,6.0,52.0,5.0,7.0,7.0,37.0,6.0,89.0,9.0,93.0,6.0,47.0,1.0,17.0,7.0,73.0,1.0,58.0,9.0,37.0,7.0,80.0,6.0,386.11084900000003
2.0,73.0,8.0,54.0,8.0,69.0,10.0,98.0,1.0,95.0,10.0,41.0,9.0,15.0,7.0,53.0,8.0,93.0,2.0,97.0,9.0,19.0,1.0,81.0,2.0,39.0,5.0,25.0,9.0,37.0,4.0,339.09821400000004
2.0,10.0,4.0,87.0,5.0,95.0,3.0,77.0,4.0,95.0,1.0,37.0,6.0,54.0,6.0,35.0,2.0,43.0,4.0,71.0,4.0,2.0,8.0,95.0,3.0,10.0,4.0,70.0,4.0,78.0,6.0,312.48342180000003
1.0,98.0,6.0,93.0,6.0,75.0,4.0,1.0,3.0,91.0,3.0,35.0,2.0,12.0,4.0,19.0,7.0,7.0,6.0,93.0,5.0,92.0,4.0,33.0,7.0,41.0,3.0,22.0,10.0,4.0,8.0,339.2996174
1.0,95.0,1.0,95.0,1.0,33.0,5.0,32.0,3.0,26.0,1.0,85.0,8.0,8.0,4.0,27.0,8.0,35.0,3.0,32.0,2.0,3.0,7.0,62.0,1.0,43.0,2.0,66.0,10.0,74.0,9.0,376.93674230000005
2.0,45.0,3.0,58.0,1.0,34.0,3.0,18.0,5.0,39.0,4.0,21.0,7.0,64.0,5.0,68.0,4.0,37.0,9.0,43.0,3.0,88.0,3.0,69.0,10.0,34.0,10.0,73.0,8.0,96.0,1.0,349.34535020000004
1.0,29.0,2.0,63.0,1.0,10.0,9.0,18.0,4.0,8.0,3.0,60.0,3.0,4.0,3.0,12.0,2.0,91.0,8.0,70.0,8.0,100.0,2.0,54.0,6.0,91.0,8.0,51.0,6.0,4.0,3.0,355.4194674000001
2.0,71.0,7.0,15.0,9.0,46.0,10.0,36.0,3.0,23.0,5.0,63.0,2.0,65.0,5.0,5.0,1.0,11.0,6.0,2.0,10.0,43.0,4.0,70.0,8.0,19.0,4.0,33.0,10.0,49.0,10.0,320.7844716999999
1.0,53.0,3.0,26.0,4.0,92.0,6.0,56.0,5.0,70.0,4.0,22.0,6.0,3.0,1.0,97.0,1.0,20.0,6.0,66.0,2.0,13.0,7.0,71.0,4.0,73.0,2.0,36.0,6.0,73.0,8.0,355.89646260000006
1.0,93.0,5.0,4.0,3.0,16.0,5.0,10.0,10.0,65.0,5.0,77.0,7.0,23.0,4.0,99.0,8.0,75.0,1.0,6.0,7.0,81.0,8.0,95.0,8.0,88.0,1.0,69.0,5.0,53.0,2.0,372.58811479999997
2.0,23.0,6.0,58.0,9.0,13.0,5.0,41.0,8.0,25.0,9.0,65.0,7.0,99.0,6.0,100.0,9.0,97.0,2.0,14.0,2.0,44.0,9.0,87.0,10.0,93.0,3.0,13.0,6.0,56.0,6.0,317.7349166
2.0,4.0,4.0,63.0,7.0,90.0,3.0,2.0,9.0,26.0,1.0,55.0,2.0,65.0,8.0,14.0,3.0,98.0,10.0,72.0,5.0,28.0,5.0,70.0,6.0,43.0,6.0,25.0,5.0,100.0,10.0,324.09840219999995
2.0,71.0,3.0,75.0,4.0,21.0,9.0,92.0,2.0,21.0,7.0,53.0,2.0,74.0,1.0,75.0,4.0,61.0,5.0,77.0,9.0,30.0,10.0,22.0,1.0,19.0,3.0,67.0,1.0,81.0,1.0,301.9262072
2.0,26.0,1.0,79.0,6.0,81.0,1.0,79.0,4.0,98.0,9.0,57.0,9.0,82.0,4.0,29.0,3.0,74.0,5.0,11.0,8.0,31.0,5.0,30.0,8.0,67.0,4.0,2.0,4.0,26.0,6.0,281.7587915
2.0,30.0,1.0,12.0,2.0,39.0,6.0,50.0,2.0,10.0,5.0,94.0,7.0,77.0,9.0,62.0,9.0,40.0,8.0,15.0,6.0,71.0,9.0,14.0,5.0,90.0,9.0,21.0,3.0,45.0,10.0,321.7304702
2.0,89.0,2.0,94.0,2.0,9.0,1.0,23.0,5.0,30.0,8.0,41.0,1.0,69.0,1.0,99.0,8.0,100.0,10.0,38.0,3.0,73.0,10.0,63.0,3.0,85.0,7.0,5.0,8.0,44.0,4.0,289.0327607
1.0,58.0,10.0,40.0,5.0,94.0,9.0,59.0,10.0,54.0,7.0,38.0,1.0,82.0,10.0,86.0,8.0,71.0,9.0,63.0,6.0,71.0,10.0,16.0,5.0,62.0,8.0,13.0,10.0,51.0,7.0,379.94864720000004
1.0,34.0,2.0,29.0,8.0,54.0,8.0,80.0,5.0,32.0,2.0,99.0,5.0,83.0,4.0,60.0,8.0,42.0,10.0,19.0,9.0,65.0,9.0,98.0,9.0,32.0,3.0,18.0,3.0,22.0,8.0,377.75982089999997
1.0,47.0,7.0,80.0,5.0,13.0,2.0,81.0,1.0,73.0,9.0,91.0,9.0,62.0,2.0,97.0,8.0,87.0,2.0,67.0,4.0,42.0,9.0,83.0,7.0,42.0,2.0,88.0,4.0,59.0,1.0,398.4560062
2.0,52.0,8.0,64.0,2.0,48.0,4.0,1.0,2.0,53.0,8.0,92.0,5.0,97.0,3.0,20.0,3.0,23.0,7.0,34.0,3.0,1.0,5.0,49.0,9.0,1.0,2.0,37.0,9.0,40.0,3.0,288.5548783
2.0,63.0,9.0,100.0,7.0,73.0,4.0,90.0,2.0,14.0,8.0,34.0,6.0,86.0,10.0,70.0,5.0,90.0,2.0,87.0,10.0,57.0,3.0,82.0,6.0,54.0,4.0,76.0,2.0,71.0,7.0,321.41387489999994
2.0,71.0,1.0,40.0,1.0,82.0,7.0,6.0,7.0,36.0,6.0,36.0,6.0,19.0,8.0,74.0,8.0,96.0,2.0,98.0,4.0,21.0,6.0,44.0,4.0,88.0,8.0,8.0,6.0,78.0,9.0,290.2742471
1.0,64.0,7.0,79.0,2.0,71.0,7.0,4.0,3.0,57.0,9.0,1.0,1.0,17.0,8.0,18.0,1.0,75.0,5.0,86.0,2.0,46.0,10.0,30.0,4.0,27.0,6.0,49.0,2.0,42.0,7.0,320.06713129999997
2.0,48.0,6.0,49.0,5.0,21.0,7.0,56.0,7.0,79.0,3.0,74.0,2.0,42.0,4.0,35.0,9.0,40.0,1.0,62.0,4.0,77.0,1.0,45.0,6.0,60.0,8.0,37.0,8.0,62.0,1.0,350.07339820000004
2.0,11.0,10.0,92.0,4.0,1.0,6.0,75.0,3.0,99.0,9.0,9.0,6.0,92.0,10.0,3.0,7.0,20.0,6.0,67.0,10.0,79.0,3.0,94.0,9.0,13.0,3.0,11.0,2.0,69.0,4.0,250.06374350000002
1.0,25.0,7.0,6.0,7.0,35.0,1.0,1.0,10.0,36.0,8.0,81.0,9.0,21.0,8.0,57.0,5.0,19.0,4.0,30.0,9.0,61.0,2.0,45.0,10.0,79.0,3.0,2.0,8.0,89.0,8.0,290.2458144
2.0,59.0,1.0,7.0,2.0,56.0,10.0,50.0,5.0,94.0,8.0,63.0,7.0,58.0,4.0,35.0,5.0,32.0,6.0,45.0,3.0,88.0,10.0,71.0,2.0,66.0,8.0,90.0,3.0,96.0,8.0,331.3308774000001
1.0,55.0,8.0,67.0,10.0,83.0,6.0,16.0,6.0,9.0,2.0,13.0,3.0,18.0,10.0,9.0,10.0,21.0,9.0,68.0,2.0,53.0,5.0,65.0,4.0,97.0,8.0,90.0,10.0,5.0,3.0,391.7409849
2.0,45.0,5.0,50.0,3.0,64.0,3.0,9.0,9.0,64.0,2.0,95.0,8.0,15.0,5.0,95.0,4.0,89.0,10.0,4.0,2.0,74.0,9.0,87.0,2.0,73.0,2.0,95.0,9.0,63.0,10.0,341.32566
1.0,51.0,6.0,37.0,10.0,9.0,9.0,67.0,6.0,88.0,4.0,71.0,8.0,33.0,5.0,59.0,1.0,36.0,2.0,52.0,10.0,62.0,5.0,97.0,8.0,49.0,3.0,95.0,4.0,48.0,7.0,386.7464779
2.0,78.0,3.0,78.0,1.0,59.0,10.0,82.0,9.0,71.0,7.0,55.0,10.0,18.0,6.0,74.0,2.0,42.0,8.0,23.0,10.0,74.0,6.0,64.0,10.0,100.0,9.0,66.0,6.0,35.0,1.0,350.7003258
1.0,93.0,3.0,36.0,3.0,20.0,3.0,46.0,9.0,87.0,1.0,17.0,6.0,25.0,6.0,23.0,9.0,25.0,8.0,39.0,5.0,44.0,8.0,49.0,6.0,35.0,7.0,18.0,3.0,31.0,5.0,366.7475337
1.0,34.0,8.0,48.0,6.0,13.0,3.0,75.0,5.0,50.0,7.0,99.0,6.0,15.0,1.0,43.0,8.0,8.0,6.0,39.0,5.0,21.0,10.0,76.0,4.0,95.0,4.0,69.0,3.0,79.0,9.0,377.10725890000003
1.0,61.0,7.0,26.0,1.0,24.0,1.0,90.0,5.0,35.0,1.0,63.0,7.0,59.0,2.0,96.0,7.0,50.0,7.0,27.0,1.0,6.0,5.0,92.0,1.0,14.0,6.0,75.0,5.0,30.0,3.0,390.2428166
1.0,27.0,6.0,12.0,3.0,23.0,8.0,89.0,3.0,90.0,5.0,27.0,9.0,85.0,5.0,76.0,6.0,99.0,6.0,79.0,2.0,89.0,6.0,49.0,3.0,100.0,2.0,83.0,10.0,57.0,10.0,424.6679762
2.0,80.0,5.0,66.0,6.0,16.0,6.0,15.0,7.0,25.0,10.0,13.0,5.0,17.0,8.0,85.0,5.0,24.0,2.0,14.0,3.0,24.0,1.0,39.0,8.0,77.0,7.0,50.0,3.0,34.0,9.0,313.49207870000004
1.0,92.0,6.0,71.0,1.0,15.0,6.0,71.0,8.0,19.0,5.0,36.0,3.0,93.0,7.0,70.0,7.0,90.0,5.0,39.0,3.0,79.0,5.0,22.0,6.0,80.0,5.0,58.0,4.0,94.0,9.0,395.73005900000004
1.0,95.0,7.0,60.0,1.0,40.0,10.0,87.0,10.0,38.0,1.0,14.0,9.0,61.0,9.0,73.0,6.0,64.0,2.0,70.0,1.0,94.0,5.0,22.0,4.0,43.0,10.0,76.0,5.0,100.0,3.0,399.19793070000003
1.0,66.0,9.0,65.0,10.0,95.0,6.0,6.0,4.0,22.0,3.0,32.0,7.0,85.0,9.0,1.0,1.0,86.0,7.0,62.0,1.0,12.0,2.0,97.0,5.0,45.0,4.0,66.0,2.0,57.0,9.0,338.2587992
2.0,11.0,5.0,38.0,3.0,100.0,1.0,12.0,1.0,8.0,3.0,4.0,6.0,9.0,10.0,100.0,2.0,70.0,4.0,96.0,7.0,71.0,4.0,58.0,9.0,13.0,1.0,58.0,3.0,19.0,4.0,289.4952093
2.0,89.0,7.0,91.0,5.0,63.0,3.0,37.0,10.0,76.0,7.0,62.0,4.0,35.0,2.0,74.0,1.0,93.0,7.0,62.0,3.0,33.0,10.0,41.0,4.0,62.0,9.0,68.0,9.0,69.0,3.0,351.5908548
1.0,41.0,2.0,42.0,8.0,31.0,6.0,100.0,4.0,19.0,1.0,95.0,8.0,11.0,7.0,56.0,5.0,85.0,6.0,21.0,1.0,48.0,3.0,99.0,7.0,50.0,3.0,93.0,4.0,33.0,9.0,384.1164383
2.0,44.0,4.0,94.0,6.0,5.0,1.0,80.0,4.0,26.0,4.0,35.0,6.0,67.0,4.0,80.0,5.0,23.0,6.0,54.0,6.0,6.0,6.0,38.0,6.0,87.0,9.0,92.0,5.0,97.0,2.0,321.73913
2.0,76.0,9.0,26.0,10.0,26.0,1.0,90.0,1.0,47.0,4.0,52.0,7.0,44.0,7.0,12.0,2.0,74.0,10.0,54.0,7.0,4.0,5.0,49.0,2.0,77.0,3.0,49.0,10.0,62.0,10.0,359.9426448
